entrada_time,salida_time,año,mes,precio_entrada,precio_e1,precio_e2,scale_hit,precio_salida,sl_price,tp1_price,tp2_price,resultado,pnl_usd,pnl_pct,capital,duracion_h,rango_imp,tp1_hit,rsi_entrada,macd_hist,adx_entrada,plus_di,adx_bucket,rsi_bucket
2023-01-27 02:00:00,2023-01-27 04:00:00,2023,2023-01,21965.26,22047.51,21800.76,True,21515.43,21515.43,22243.45,22799.84,SL,-120.34,-3.06,9368.98,2.0,3.89,False,50.9,-16.2278,18.4,27.2,,50-52
2023-02-08 04:00:00,2023-02-08 08:00:00,2023,2023-02,25490.81,25572.31,25327.82,True,25061.24,25061.24,25808.51,26443.9,SL,-118.04,-2.52,9250.94,4.0,4.56,False,49.3,-60.0991,26.3,26.9,25-30,45-50
2023-04-04 08:00:00,2023-04-04 10:00:00,2023,2023-04,32324.53,32374.88,32223.83,True,31760.11,31760.11,32584.4,33104.14,SL,-120.96,-2.62,9129.98,2.0,3.68,False,42.2,-170.1139,24.6,27.9,,40-45
2023-04-29 17:00:00,2023-04-30 00:00:00,2023,2023-04,26494.5,26503.25,26477.01,True,26013.54,26013.54,26709.15,27138.44,SL,-124.26,-2.72,9005.72,7.0,5.58,False,47.1,-56.8022,19.5,26.2,,45-50
2023-05-12 12:00:00,2023-05-12 16:00:00,2023,2023-05,28824.11,28824.11,,False,28824.11,28824.11,29431.34,30645.79,BE,45.03,1.05,9050.75,4.0,5.79,True,45.2,-121.0116,17.9,21.1,,45-50
2023-05-23 00:00:00,2023-05-23 03:00:00,2023,2023-05,35326.05,35384.14,35209.86,True,34623.55,34623.55,35680.54,36389.51,SL,-125.39,-2.98,8925.35,3.0,5.06,False,53.6,-6.9836,18.3,34.2,,
2023-05-27 19:00:00,2023-05-28 02:00:00,2023,2023-05,34027.81,34065.12,33953.18,True,34027.81,34027.81,34465.69,35341.46,BE,43.02,0.96,8968.38,7.0,8.09,True,50.6,-85.5635,22.3,27.1,,50-52
2023-07-16 18:00:00,2023-07-17 01:00:00,2023,2023-07,30876.31,30927.83,30773.28,True,31958.91,30876.31,31237.18,31958.91,TP2,156.96,3.5,9125.34,7.0,6.3,True,50.1,-84.162,22.4,29.6,,50-52
2023-07-18 04:00:00,2023-07-18 10:00:00,2023,2023-07,32113.62,32190.95,31958.97,True,31555.99,31555.99,32456.13,33141.14,SL,-118.56,-2.6,9006.79,6.0,4.39,False,49.1,-46.285,16.3,32.0,,45-50
2023-08-12 18:00:00,2023-08-12 23:00:00,2023,2023-08,27067.68,27129.7,26943.64,True,26604.97,26604.97,27313.09,27803.92,SL,-115.21,-2.56,8891.57,5.0,3.35,False,53.0,-31.2869,15.4,30.7,,
2023-08-19 06:00:00,2023-08-19 06:00:00,2023,2023-08,27311.88,27311.88,,False,26825.62,26825.62,27858.12,28950.59,SL,-79.15,-1.78,8812.42,0.0,3.58,False,54.3,-50.1204,21.8,33.5,,
2023-08-31 04:00:00,2023-08-31 08:00:00,2023,2023-08,28312.68,28316.76,28304.52,True,28312.68,28312.68,28455.11,28739.99,BE,16.61,0.38,8829.03,4.0,3.53,True,53.3,-38.6868,16.5,30.5,,
2023-09-18 20:00:00,2023-09-18 23:00:00,2023,2023-09,34293.79,34367.09,34147.18,True,33765.3,33765.3,34628.24,35297.14,SL,-101.83,-2.31,8727.21,3.0,4.1,False,51.9,-71.2898,21.1,28.1,,50-52
2023-09-26 15:00:00,2023-09-26 18:00:00,2023,2023-09,38693.78,38747.86,38585.6,True,38036.12,38036.12,38935.24,39418.17,SL,-111.09,-2.55,8616.11,3.0,2.56,False,49.8,-133.2186,17.4,24.5,,45-50
2023-11-25 16:00:00,2023-11-25 22:00:00,2023,2023-11,40547.42,40547.42,,False,40547.42,40547.42,41486.15,43363.6,BE,43.08,1.16,8659.19,6.0,6.59,True,49.3,-146.7217,26.4,27.5,25-30,45-50
2023-11-29 22:00:00,2023-11-30 00:00:00,2023,2023-11,41008.86,41113.37,40799.85,True,40201.35,40201.35,41847.98,43526.21,SL,-115.0,-2.95,8544.19,2.0,11.83,False,42.8,-64.9719,21.6,22.7,,40-45
2023-12-07 11:00:00,2023-12-07 15:00:00,2023,2023-12,50141.73,50282.78,49859.63,True,49117.91,49117.91,50684.13,51768.93,SL,-112.64,-3.05,8431.54,4.0,3.89,False,50.6,-41.3805,18.8,26.6,,50-52
2023-12-14 18:00:00,2023-12-14 19:00:00,2023,2023-12,58286.74,58418.4,58023.43,True,57075.06,57075.06,58833.29,59926.39,SL,-114.08,-3.11,8317.47,1.0,3.63,False,54.8,3.7718,15.5,26.6,,
2024-01-09 19:00:00,2024-01-10 15:00:00,2024,2024-01,46284.06,46335.99,46180.21,True,46284.06,46284.06,47032.7,48529.99,BE,43.16,1.21,8360.63,20.0,10.65,True,53.4,-35.7562,16.1,28.5,,
2024-02-26 07:00:00,2024-02-26 15:00:00,2024,2024-02,82807.3,83177.4,82067.11,True,86431.56,82807.3,84015.39,86431.56,TP2,116.58,4.36,8477.21,8.0,4.25,True,50.5,-185.0514,19.5,27.2,,50-52
2024-04-26 02:00:00,2024-04-26 03:00:00,2024,2024-04,66457.27,66457.27,,False,65015.59,65015.59,67898.95,70782.32,SL,-84.77,-2.17,8392.43,1.0,3.04,False,44.2,-112.4719,20.3,26.3,,40-45
2024-05-19 02:00:00,2024-05-19 08:00:00,2024,2024-05,75011.01,75011.01,,False,79852.88,75011.01,76624.97,79852.88,TP2,167.85,4.3,8560.28,6.0,8.5,True,52.0,-80.5145,29.0,26.9,25-30,50-52
2024-06-10 15:00:00,2024-06-10 21:00:00,2024,2024-06,72707.49,72734.87,72652.72,True,72707.49,72707.49,73187.21,74146.65,BE,17.43,0.49,8577.71,6.0,4.37,True,46.7,-40.0933,20.0,28.0,,45-50
2024-10-25 08:00:00,2024-10-25 09:00:00,2024,2024-10,75715.08,75859.11,75427.01,True,74206.42,74206.42,76676.73,78600.04,SL,-117.45,-2.98,8460.26,1.0,6.72,False,48.7,-79.8486,19.4,28.6,,45-50
2024-11-09 17:00:00,2024-11-10 04:00:00,2024,2024-11,123821.83,123821.83,,False,123821.83,123821.83,128131.19,136749.9,BE,42.3,1.74,8502.56,11.0,12.75,True,50.4,-206.7406,18.0,28.4,,50-52
2024-11-19 02:00:00,2024-11-19 10:00:00,2024,2024-11,118088.68,118088.68,,False,118088.68,118088.68,122324.47,130796.04,BE,42.51,1.79,8545.07,8.0,11.08,True,46.1,-619.3031,19.9,31.0,,45-50
2025-01-06 21:00:00,2025-01-07 01:00:00,2025,2025-01,99579.96,99771.46,99196.97,True,96679.51,96679.51,102185.81,107397.49,SL,-120.24,-4.36,8424.84,4.0,17.49,False,53.4,-491.3555,22.4,37.7,,
2025-02-10 08:00:00,2025-02-10 09:00:00,2025,2025-02,87816.69,87847.86,87754.34,True,85822.21,85822.21,88737.88,90580.26,SL,-124.43,-3.41,8300.41,1.0,7.38,False,49.7,-186.051,19.9,17.3,,45-50
2025-04-07 04:00:00,2025-04-07 04:00:00,2025,2025-04,114153.35,114153.35,,False,111181.4,111181.4,117125.3,123069.2,SL,-83.0,-2.6,8217.41,0.0,11.84,False,53.8,-535.3803,27.8,29.7,25-30,
2025-05-03 10:00:00,2025-05-03 11:00:00,2025,2025-05,104665.24,104689.31,104617.09,True,102304.09,102304.09,106166.89,109170.19,SL,-122.02,-3.38,8095.39,1.0,10.59,False,35.9,-662.1517,28.3,18.6,25-30,35-40
2025-05-07 16:00:00,2025-05-07 17:00:00,2025,2025-05,112660.69,112736.11,112509.85,True,112660.69,112660.69,113208.28,114303.46,BE,14.57,0.36,8109.96,1.0,2.62,True,46.1,-114.3509,15.1,21.1,,45-50
2025-05-10 02:00:00,2025-05-10 05:00:00,2025,2025-05,113749.27,113855.7,113536.41,True,117634.06,113749.27,115044.2,117634.06,TP2,138.36,3.41,8248.32,3.0,7.18,True,44.1,-401.534,22.9,30.4,,40-45
2025-05-25 03:00:00,2025-05-25 05:00:00,2025,2025-05,132865.95,133004.03,132589.8,True,130280.3,130280.3,135382.84,140416.6,SL,-117.45,-2.92,8130.87,2.0,12.99,False,39.7,-515.6848,28.6,27.2,25-30,35-40
2025-07-07 23:00:00,2025-07-08 01:00:00,2025,2025-07,131321.51,131513.1,130938.32,True,134548.66,131321.51,132397.22,134548.66,TP2,73.84,2.45,8204.7,2.0,3.94,True,52.9,-316.1289,17.6,27.4,,50-52
2025-07-09 13:00:00,2025-07-09 17:00:00,2025,2025-07,130900.03,131005.44,130689.22,True,134355.53,130900.03,132051.87,134355.53,TP2,72.68,2.64,8277.38,4.0,5.39,True,54.1,281.1511,19.8,35.0,,
2025-07-11 03:00:00,2025-07-11 17:00:00,2025,2025-07,131516.79,131516.79,,False,131516.79,131516.79,134967.76,141869.7,BE,41.39,1.31,8318.77,14.0,3.08,True,48.8,-464.6654,23.5,24.3,,45-50
2025-07-30 15:00:00,2025-07-31 01:00:00,2025,2025-07,117987.48,117987.48,,False,117987.48,117987.48,120792.98,126403.98,BE,41.59,1.19,8360.36,10.0,7.06,True,52.7,-15.2726,17.8,31.4,,50-52
2025-08-28 06:00:00,2025-08-28 09:00:00,2025,2025-08,129545.96,129621.79,129394.3,True,129545.96,129545.96,130343.07,131937.28,BE,18.08,0.46,8378.45,3.0,3.72,True,49.8,-135.5793,15.6,27.4,,45-50
2025-10-12 14:00:00,2025-10-12 23:00:00,2025,2025-10,126389.98,126389.98,,False,126389.98,126389.98,129246.66,134960.02,BE,41.89,1.13,8420.34,9.0,4.65,True,53.8,-290.0467,17.0,28.0,,
2025-11-11 10:00:00,2025-11-11 13:00:00,2025,2025-11,115625.15,115833.09,115209.28,True,113251.73,113251.73,117386.31,120908.63,SL,-116.13,-3.07,8304.21,3.0,8.85,False,49.5,-404.5566,19.1,36.7,,45-50
2026-01-12 13:00:00,2026-01-12 13:00:00,2026,2026-01,100748.8,100748.8,,False,98399.57,98399.57,103098.03,107796.49,SL,-83.04,-2.33,8221.17,0.0,10.01,False,47.3,-357.764,15.0,32.8,,45-50
2026-01-17 22:00:00,2026-01-18 02:00:00,2026,2026-01,97016.78,97087.22,96875.9,True,97016.78,97016.78,97845.37,99502.56,BE,20.9,0.64,8242.06,4.0,5.32,True,50.3,-171.0647,27.1,21.8,25-30,50-52
2026-02-13 15:00:00,2026-02-13 19:00:00,2026,2026-02,78907.15,78927.84,78865.77,True,80902.5,78907.15,79572.26,80902.5,TP2,90.81,2.53,8332.87,4.0,5.94,True,49.2,-272.0983,20.0,28.9,,45-50
2026-02-15 10:00:00,2026-02-15 20:00:00,2026,2026-02,82306.89,82306.89,,False,82306.89,82306.89,85037.05,90497.36,BE,41.66,1.66,8374.54,10.0,8.28,True,48.9,-243.6809,25.7,22.9,25-30,45-50
2026-02-18 21:00:00,2026-02-19 09:00:00,2026,2026-02,97429.05,97429.05,,False,106057.1,97429.05,100305.07,106057.1,TP2,167.49,5.9,8542.03,12.0,9.9,True,48.3,-647.1013,27.1,29.7,25-30,45-50
2026-03-13 00:00:00,2026-03-13 05:00:00,2026,2026-03,99731.8,99879.04,99437.33,True,97772.3,97772.3,101521.75,105101.64,SL,-119.18,-2.94,8422.85,5.0,11.5,False,51.2,-164.8399,30.5,24.0,30-35,50-52
2026-03-19 19:00:00,2026-03-20 00:00:00,2026,2026-03,97321.91,97321.91,,False,97321.91,97321.91,99338.6,103371.97,BE,42.11,1.04,8464.97,5.0,6.38,True,49.1,-128.5602,19.4,31.2,,45-50
2026-03-20 16:00:00,2026-03-20 16:00:00,2026,2026-03,96317.77,96317.77,,False,94127.33,94127.33,98508.21,102889.08,SL,-84.65,-2.27,8380.32,0.0,6.94,False,46.3,-241.4245,17.8,27.4,,45-50
2026-04-20 16:00:00,2026-04-20 18:00:00,2026,2026-04,86322.78,86476.07,86016.2,True,86322.78,86322.78,86978.08,88288.68,BE,22.32,0.57,8402.64,2.0,3.01,True,53.2,-156.274,23.1,26.8,,
